Date,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,,1.16E+11,,,,1.99E+11,91836704604,,597069961.5,1.19E+11,1266660748,1153497472,17862545311,,,1942538098,,,97311899.81,1236024651,3676733642,2.47E+11,,,,205010514,899673476.7,2.95E+11,,,,29375692257,1.28E+11,4289508128,4950872798,15841902488,1483222500,37526930049,,,3873980069,,,,,,,,,,94053807816,4360947062,27442489539,2.58E+11,1.12E+12,1.34E+12,,,10168767411,15403072209,2.85E+12,,2.25E+11,,,4.11E+12,,53950253371,697947700.1,5.94E+11,,,2185116066,7.30E+11,,7006722484,,,,,,52154874969,,,6155035023,,971259791.7,9.03E+12,,2234326592,1.02E+11,,3840049499,,2.10E+12,2.35E+12,2.47E+11,1.04E+11,60580597267,1.48E+11,,1.49E+11,,,65295200248,,2054312790,18580162605,5.46E+11,,,7.96E+11,,4364226423,,,,,23618995883,,7.40E+11,,,,,,8.09E+11,,,,,5.29E+11,2.24E+12,219098954,1.04E+12,,8504063008,,,,,,,4175487769,,,1.48E+11,,2.17E+12,,,,3333228175,,,,,,677966548.9,,872749542,11043462326,3.47E+12,,,2074911282,61730557914,2669697385,1.88E+11,82968145889,2687564645,,,9.06E+12,,,13665431171,2423942593,27007516808,27831927085,,2283924563,,,13751199388,,39866242695,2597665884,,,8.81E+12,,,,,972221065.4,1.90E+11,,9321521196,4362382541,5768021089,,863817135.3,,,,,2.53E+11,,2.53E+11,,,960060872.2,,,1.35E+11,,,117996015.5,,,2089939952,2.58E+11,,562544185,15639870223,,,7.78E+11,,,,1.90E+11,2.53E+11,3397615808,,87225893758,,,,,1.64E+12,13898153415,3.17E+12,,141860740.5,1.01E+11,,,,,1.14E+13,,,,79070958914,4592975694,3756656488
1961,,,,,,,,1.22E+11,,,,2.04E+11,96922602310,,514995918.3,1.25E+11,1306450115,1200144079,18944687033,,,2149750529,,,102072667.7,1293870605,3753551489,2.72E+11,,,,218014912.6,944239286.4,3.04E+11,,,,30916527184,93289020923,4715565889,5009475330,14122838070,1607082358,39436756947,,,3946782868,,,,,,,,,,1.00E+11,4260067508,23708817726,2.29E+11,1.17E+12,1.41E+12,,,10689857241,16198042348,3.03E+12,,2.51E+11,,,4.33E+12,,58052992362,722498582.8,6.24E+11,,,2507788728,7.50E+11,,7247030225,,,,,,59041321835,,,6419610333,,1016807256,9.45E+12,10710269168,2275788082,1.02E+11,,3727460005,,2.15E+12,2.41E+12,2.50E+11,1.06E+11,64058314794,1.50E+11,,1.54E+11,,,72789522862,,2052573569,20661862771,5.91E+11,,,8.92E+11,,4024923752,,,,,25244515644,,7.89E+11,,,,,,8.62E+11,,,,5924493034,5.49E+11,2.29E+12,223184700.7,1.03E+12,,8829767186,,,,,,,4261028179,,,1.55E+11,,2.22E+12,,,,3348946382,,,,,,783254166.3,,939424097.3,11882543931,3.55E+12,,,2169244904,61848954340,2869864445,1.89E+11,88173016047,2738850526,,,9.49E+12,,,14483627875,2688796979,28991785084,29395129346,,2425096492,,,14719522886,,42072800748,2776912247,,,9.22E+12,,,,,930439611.9,1.98E+11,,9323608409,4492968205,6237390785,,879443963.5,,,,,2.57E+11,,2.57E+11,,,1006143794,,,1.43E+11,,,112235123.9,,,2119151955,2.29E+11,,631001972.2,16478502946,,,8.29E+11,,,,1.98E+11,2.57E+11,3874541546,,88234285612,,,,,1.67E+12,14244639650,3.24E+12,,148283178.1,1.05E+11,,,,,1.18E+13,,,,82111040763,4655503638,3993932820
1962,,,,,,,,1.21E+11,,,,2.07E+11,99489767156,,561670811.7,1.32E+11,1261685780,1273698494,19977746684,,,2374441850,,,107066728.3,1351706621,3962959043,2.86E+11,,,,232549242.6,909172126.1,3.26E+11,,,,32161438540,88083493565,4773425623,5161841480,17116978250,1690687744,41571030700,,,4161582239,,,,,,,,,,1.06E+11,4986291480,19041727041,2.29E+11,1.21E+12,1.50E+12,,,11215707027,16825816386,3.23E+12,,2.76E+11,,,4.55E+12,,59784100977,748552619.7,6.66E+11,,,2694599217,7.58E+11,,7544822191,,,,,,59256710799,,,6646639933,,1028042222,1.00E+13,12240849440,2406983761,1.09E+11,,4021466242,,2.23E+12,2.50E+12,2.64E+11,1.10E+11,65238254669,1.60E+11,,1.59E+11,,,79042458029,,2223218639,22760305761,6.28E+11,,,9.72E+11,,4405575231,,,,,26213668656,,8.27E+11,,,,,,9.03E+11,,,,6150691336,5.68E+11,2.38E+12,257402964.7,1.06E+12,,8949735261,,,,,,,4357799099,,,1.62E+11,,2.31E+12,,,,3485813552,,,,,,788945356.7,,945702876.7,12645525595,3.77E+12,,,2392215373,64386612353,3182415594,2.02E+11,90654156346,2791171336,,,1.00E+13,,,15132908437,2910481214,31901195760,30798194687,,2579674551,,,15944674778,,44855684178,2868557530,,,9.76E+12,,,,,1035893761,2.05E+11,,9968414450,4486847194,6708521322,,919379224.2,,,,,2.72E+11,,2.72E+11,,,1045383402,,,1.49E+11,,,121672505.5,,,2232740960,2.29E+11,,654813796,17723330988,,,8.68E+11,,,,2.05E+11,2.72E+11,3980799420,,93150195819,,,,,1.73E+12,14020350840,3.44E+12,,153761146.9,1.14E+11,,,,,1.25E+13,,,,87183764870,4539542515,4051224624
1963,,,,,,,,1.14E+11,,,,2.20E+11,1.04E+11,,584898188.1,1.37E+11,1321363870,1257547789,19886669278,,,2624329421,,,112373420.3,1366169881,4232346168,2.89E+11,,,,246318588.1,902744181.4,3.44E+11,,,,34039711621,97156093398,5465111983,5355025995,18009455807,1622564856,42937348906,,,4448686611,,,,,,,,,,1.06E+11,5310545160,25575653613,2.42E+11,1.28E+12,1.62E+12,,,11451951118,18595571337,3.42E+12,,3.03E+11,,,4.80E+12,,61748068260,796151373.9,7.08E+11,,,2858765931,7.95E+11,,7877245110,,,,,,66275589781,,,7280798769,,901812440.7,1.06E+13,14170404622,2493164291,1.13E+11,,3945348228,,2.34E+12,2.62E+12,2.78E+11,1.19E+11,63778855350,1.64E+11,,1.68E+11,,,84792366914,,2451840724,25194682738,6.63E+11,,,1.05E+12,,4792311613,,,,,28622797586,,8.46E+11,,,,,,9.27E+11,,,,6305488774,5.96E+11,2.50E+12,284726469.5,1.10E+12,,9257526370,,,,,,,4317297644,,,1.75E+11,,2.42E+12,,,,3951145084,,,,,,773294514.5,,932547407.2,13573555873,3.94E+12,,,2617758924,69910094462,3528200300,2.09E+11,94085455221,2844067149,,,1.06E+13,,,16447781355,3159001058,33281959208,32972697349,,2684732358,,,17324056089,,47490373449,3003674946,,,1.03E+13,,,,,934164390.4,2.16E+11,,9684616514,4570503498,7382078106,,935006052.4,,,,,2.89E+11,,2.89E+11,,,1103924872,,,1.57E+11,,,134004747.6,,,2197029295,2.42E+11,,687552483.9,19141167477,,,8.89E+11,,,,2.16E+11,2.89E+11,4203907195,,1.02E+11,,,,,1.82E+12,14044249770,3.59E+12,,144127490.5,1.18E+11,,,,,1.32E+13,,,,93612358103,4688094182,4304197046
1964,,,,,,,,1.26E+11,,,,2.35E+11,1.10E+11,,621589073.1,1.47E+11,1409244598,1286255332,22064814113,,,2899925139,,,117991956.3,1517951355,4399803030,2.99E+11,,,,263147815.3,921524190.6,3.67E+11,,,,34910182119,1.15E+11,6427686956,5544977318,17569984822,1684494851,45585270019,,,4611466204,,,,,,,,,,1.16E+11,5669796377,27069121656,2.66E+11,1.39E+12,1.79E+12,,,12300225236,20735471115,3.61E+12,,3.19E+11,,,5.08E+12,,64982856036,834981911.4,7.55E+11,,,2988967100,8.39E+11,,8051279253,,,,,,72511908470,,,7618117625,,1004260881,1.12E+13,15393035684,2628210164,1.16E+11,,3880354243,,2.52E+12,2.82E+12,2.91E+11,1.25E+11,66030056427,1.71E+11,,1.81E+11,,,92588125027,,2694978588,27194433074,6.81E+11,,,1.18E+12,,5030224355,,,,,31330353675,,9.12E+11,,,,,,9.95E+11,,,,6551808521,6.33E+11,2.69E+12,308219586.9,1.18E+12,,9985707548,,,,,,,4488371376,,,1.96E+11,,2.60E+12,,,,3718263848,,,,,,987426619.7,,957363456.7,14300957698,4.17E+12,,,2621189233,73370985760,3940946072,2.26E+11,98798808156,3058295044,,,1.13E+13,,,17692838509,3299012103,35461217848,34109260339,,2914821480,,,18547294475,,50487370948,3130204073,,,1.10E+13,,,,,817720867.5,2.32E+11,,9576105313,4748018522,7153027948,,997513439.7,,,,,3.05E+11,,3.05E+11,,,1175679989,,,1.67E+11,,,141936818.9,,,2141863217,2.66E+11,,785776309.1,20448699889,,,9.55E+11,,,,2.32E+11,3.05E+11,4524686324,,1.07E+11,,,,,1.97E+12,14387002604,3.80E+12,,149416573.9,1.31E+11,,,,,1.41E+13,,,,1.01E+11,5260700256,4256585230
1965,,,,,,,,1.39E+11,,,,2.49E+11,1.14E+11,,646248914,1.52E+11,1483848074,1334676997,22419232005,,,3202259632,,,123809598.1,1590205840,4615984798,3.08E+11,,,,278447111.1,930256357.7,3.90E+11,,,,35241923981,1.34E+11,6227808114,5657321537,17745218854,1746424761,47226344933,,,4989169616,,,,,,,,,,1.22E+11,4962101810,28749274484,2.93E+11,1.46E+12,1.91E+12,,,12703067759,21754420935,3.80E+12,,3.39E+11,,,5.29E+12,,68428804488,812435170.8,7.92E+11,,,3238047761,8.57E+11,7345028490,8161501175,,,,,,80319998391,,,7950402342,,1110120208,1.19E+13,17646975272,2865725629,1.21E+11,,3964239658,,2.66E+12,2.97E+12,3.04E+11,1.32E+11,66744230562,1.78E+11,,1.76E+11,,,1.09E+11,,2893645114,29667485463,7.04E+11,,,1.25E+12,,5131286299,,,,,33581013459,,9.60E+11,,,,,,1.05E+12,,,,6718024859,6.44E+11,2.84E+12,314858962.1,1.25E+12,,9912319227,,,,,,,4468072543,,,2.10E+11,,2.75E+12,,,,4115844769,2.18E+11,,,,,1146780791,,1087722789,15399966773,4.44E+12,,,2802569284,76955141420,4316327327,2.46E+11,1.04E+11,3021497974,,,1.19E+13,1469060078,,19536320078,3601202808,37454752994,35905389339,,3214130501,,,20254543713,,54258266893,3323274271,,,1.16E+13,,,,,875039250.9,2.30E+11,,10225085064,4811271126,7713397891,,1069136459,7547477324,,,,3.20E+11,,3.20E+11,,,1316761588,,,1.74E+11,,,140431478,,,2154847787,2.92E+11,,907255069.1,22121743303,,,1.00E+12,,2.17E+11,,2.30E+11,3.20E+11,4556080873,5059838759,1.10E+11,,,,,2.11E+12,14537433686,4.04E+12,,150738813.6,1.37E+11,,,,,1.48E+13,,,,1.07E+11,6136473015,4465607852
1966,,,,,,,,1.38E+11,,,,2.55E+11,1.20E+11,,676060330.5,1.57E+11,1536908445,1341852395,22994691543,,,3492766343,,,129716362.2,1818617224,4946978127,3.21E+11,,,,296111848.9,936254499.3,4.16E+11,,,,39201792005,1.49E+11,6948823860,5918404416,18947543549,1770158367,49699463872,,,5336880763,21139170675,,,,,,,,,1.25E+11,5630166688,27367880199,3.15E+11,1.52E+12,2.08E+12,,,12659937587,22852236841,4.00E+12,,3.63E+11,,,5.52E+12,,70052498910,812435170.8,8.33E+11,,,3384019102,8.70E+11,7898522756,7813960756,,,289673615.7,,,85536382572,,,8388636787,,1168215839,1.26E+13,17963668850,3019725205,1.24E+11,,3941414090,,2.79E+12,3.11E+12,3.06E+11,1.31E+11,68607293522,1.81E+11,,1.76E+11,,,1.21E+11,,3146432027,29643856862,7.46E+11,6759236976,,1.38E+12,,5887051209,,,,,37605195574,,9.96E+11,,,,,,1.09E+12,,,,7055524282,6.50E+11,2.96E+12,313582141.7,1.33E+12,,10021939973,,,,11947014184,,,4560318243,,,2.23E+11,,2.87E+12,,,,3916153089,2.34E+11,,,,,1149429419,,1231835576,16603737673,4.73E+12,,,2791849535,73684152216,4458815179,2.53E+11,1.08E+11,3234230864,,,1.26E+13,1545516775,,20667463594,3874224466,40540620296,37494559780,,3400992269,,,21773462003,,56470869878,3389457388,,,1.23E+13,,,,,936369971.7,2.32E+11,,9859523192,4949679896,8498591975,,1087311779,8087962571,,,,3.25E+11,,3.25E+11,,,1569579813,,,1.78E+11,,,159946549,,,2115907696,3.14E+11,,992616150,24582238293,,,1.04E+12,,2.33E+11,,2.32E+11,3.25E+11,4740912944,5234649504,1.23E+11,,,,,2.22E+12,14982694337,4.31E+12,,150738813.6,1.39E+11,,,,,1.57E+13,,,,1.12E+11,5794652457,4533624866
1967,,,,,,,,1.43E+11,,,,2.71E+11,1.24E+11,,769502134.9,1.63E+11,1553482445,1460248259,22563342421,,,3828006034,,,136089486.9,2060039383,5259489595,3.36E+11,,,,313655172.9,980039499.9,4.29E+11,,,,40619328747,1.40E+11,7268341328,5272584244,18760770287,1807619734,51754469194,,,5638421246,22062441243,,,,,,,,,1.32E+11,5817512865,29954955668,3.12E+11,1.60E+12,2.26E+12,,,13244962664,23036257706,4.21E+12,,3.79E+11,,,5.78E+12,,71571817739,920910120,8.74E+11,,,3523276660,8.95E+11,8392180392,8054268496,,,289673615.7,,,90385855351,,,8733592264,,1218608253,1.32E+13,18251706189,3200230573,1.26E+11,,3857947307,,2.92E+12,3.22E+12,2.95E+11,1.19E+11,69554350527,1.84E+11,,1.90E+11,,,1.35E+11,,3106558493,30531696353,7.99E+11,6881487139,,1.53E+12,,6084928660,,,,,41033647878,,1.04E+12,,,,,,1.14E+12,,,,7509831214,6.62E+11,3.07E+12,347800417.9,1.37E+12,,10043660605,,,,13145161284,,,4812438429,,,2.36E+11,,2.98E+12,,1944068679,,3684110880,2.57E+11,,,,,1190431093,,1321532299,17244168159,4.85E+12,,,2795279844,62083593244,4769572919,2.66E+11,1.15E+11,3183405007,,,1.32E+13,2568943823,,21783633236,4205584218,42102473804,39490826455,,3539428349,,,23128473175,,60731304790,3699605186,,,1.28E+13,,,,,1001129483,2.47E+11,,9999930816,4889304054,9561717155,,1087706272,8527692872,,,,3.23E+11,,3.23E+11,,,1759498970,,,1.83E+11,,,160753862.3,,,2132140969,3.11E+11,,1047213726,26700239601,,,1.09E+12,,2.55E+11,,2.47E+11,3.23E+11,4837746931,5243127148,1.28E+11,,,,,2.32E+12,14434802059,4.42E+12,,136382730.1,1.43E+11,,,,,1.64E+13,,,,1.20E+11,6253571345,4912953663
1968,,,,,,,,1.50E+11,,,,2.85E+11,1.29E+11,,767209913.7,1.70E+11,1613172454,1505089182,24704480424,,,4150391652,,,146115506.2,2103408633,5708094766,3.75E+11,,,,346799292.3,993800363.7,4.50E+11,,,,42078380450,1.34E+11,8180390870,5607199516,19573617893,1945565093,54825122923,,,6116181839,23394647775,,,,,,,,,1.39E+11,5831408604,33188964146,3.20E+11,1.72E+12,2.50E+12,,,13497867067,22666112880,4.45E+12,,4.04E+11,,,6.09E+12,,73220324248,993811405.5,9.14E+11,,,3611668656,9.43E+11,8766164048,8083977497,,,317413176.7,,,96896998296,,,9499182023,,1231096886,1.40E+13,18871818764,3411387650,1.32E+11,,3980692427,,3.12E+12,3.43E+12,3.05E+11,1.22E+11,77146332091,1.93E+11,,1.96E+11,,,1.55E+11,13470458421,2936477325,35490641288,8.52E+11,7276768859,,1.73E+12,,6570669650,,,,,46445386532,,1.13E+12,,,,,,1.23E+12,,,,7945483594,6.93E+11,3.28E+12,346523572.9,1.46E+12,,10463874552,,,,14445446370,,,5141069555,,4.50E+11,2.58E+11,,3.18E+12,,2016162720,,4128390344,2.88E+11,,,,,1311812717,,1296118187,18619906970,5.08E+12,,,2805999593,61308566347,4833626378,2.83E+11,1.17E+11,3204908381,,,1.41E+13,4672595319,,23359291554,4499024173,42166569647,41443812926,,3693732923,,1.91E+11,24326628602,,66121517354,3867089044,,,1.36E+13,,,,,1071346512,2.58E+11,76790666667,10196251541,5196879100,10855089864,,1109677110,8803708057,,,,3.32E+11,,3.33E+11,,,1893220892,,,1.90E+11,,,172895980.3,,,2122392419,3.19E+11,,1099822517,28868905221,,,1.18E+12,,2.86E+11,,2.58E+11,3.33E+11,5090042284,5788922454,1.37E+11,,,,,2.49E+12,14707462730,4.63E+12,,145260844.7,1.53E+11,,,,,1.74E+13,,,,1.25E+11,6331636551,5009745482
1969,,,,,,,,1.64E+11,,,,3.05E+11,1.37E+11,,756012169.3,1.81E+11,1659591459,1535583508,25006087027,,,4523165825,,,153576711.5,2175690717,5963480482,4.11E+11,,,,399247152.8,1064276139,4.73E+11,,,,43735420036,1.57E+11,8960736252,5882035252,21399608887,2092426564,58170835538,,,6452070310,24686087385,,,,,,,,,1.48E+11,6466533314,35987882516,3.54E+11,1.82E+12,2.79E+12,,,14128114603,23862774279,4.76E+12,,4.40E+11,,,6.45E+12,,80244560670,1019614829,9.79E+11,,,3903596599,9.61E+11,9185024492,8569515330,,,325143847.3,,,1.08E+11,,,9949149633,,1317204562,1.48E+13,21012502998,3433747210,1.38E+11,,4132434165,,3.35E+12,3.69E+12,3.35E+11,1.42E+11,82409484955,2.00E+11,,2.09E+11,,,1.80E+11,13907465553,3006206564,40305196458,9.04E+11,7682424991,,1.94E+12,,7093643996,,,,,53199182396,,1.20E+12,,,,,,1.31E+12,,,,8558622235,7.47E+11,3.53E+12,351886152.3,1.60E+12,,11507421896,,,,15653398482,,,5332380175,,5.02E+11,2.67E+11,,3.43E+12,,2020820045,,4264286267,3.24E+11,,,,,1328191120,,1372360523,19530147389,5.25E+12,,,2652063976,76143635540,5135133680,3.01E+11,1.23E+11,3347956954,,,1.49E+13,5871871521,,24645897888,4878804312,43648496412,43373585465,,3999332363,,2.14E+11,26607306966,,67523783589,4048886755,,,1.44E+13,,,,,1189273588,2.73E+11,81427200000,10337913211,4856268216,12356734810,,1204282042,9110554155,,,,3.63E+11,,3.63E+11,,,1978415832,,,2.00E+11,,,172895980.3,,,2268440825,3.54E+11,,1218942846,30760009015,,,1.25E+12,,3.22E+11,,2.73E+11,3.63E+11,5229035285,6063769806,1.43E+11,,,,,2.69E+12,15570017273,4.77E+12,,149416532.3,1.54E+11,,,,,1.85E+13,,,,1.31E+11,6303972629,5632368465
1970,,,,,1022930411,,,1.69E+11,,,,3.27E+11,1.46E+11,,917236835.2,1.91E+11,1694405665,1537380442,26411392182,,,4267622809,,,160960208.9,2313026676,6275431893,4.47E+11,,,,467599334,1089104434,4.87E+11,,3.06E+11,,44535326423,1.87E+11,9890415491,6063911795,21347167739,2225472884,61781962900,,,6936177813,25846825119,19601031350,,,,,1.54E+12,,,1.51E+11,7645167834,39177365144,4.00E+11,1.98E+12,2.87E+12,,8.53E+12,15098988654,25198735286,5.04E+12,,4.59E+11,,,6.77E+12,,84524731544,1149133556,1.04E+12,,,4242403105,9.87E+11,10292014321,9402769804,,,345152700.8,347018854,,1.18E+11,,726460342.6,10517035513,,1373257635,1.52E+13,22947115163,3558279639,1.44E+11,,4159342663,,3.60E+12,3.98E+12,3.74E+11,1.68E+11,88635220348,2.10E+11,,2.20E+11,,37691202577,2.00E+11,14539470474,3389597018,41532110281,9.51E+11,8609264166,,1.95E+12,,6763403165,,,122452273.4,,58517673375,,1.28E+12,,,,,,1.39E+12,,,,8887840753,8.09E+11,3.81E+12,359546964.3,1.76E+12,,12026066085,,,,16391215216,2012801425,,5613740846,,5.96E+11,2.84E+11,,3.71E+12,,2144836859,1133812144,4476619178,3.55E+11,,,,,1487387193,,1378938219,20699327206,5.25E+12,,,2733105188,95185058690,5204654485,3.20E+11,1.25E+11,3434200062,,56419185668,1.52E+13,6687773732,,27444060470,5218331335,45117681232,45006429570,,4432972203,,2.42E+11,28841766773,,76040291880,4273738675,,,1.47E+13,,,,,1260646953,2.88E+11,1.29E+11,10950442293,5272064111,14079541349,,1308097094,9381802236,,,,3.99E+11,,3.99E+11,,,2031833059,,,2.13E+11,528635781.8,,188235086.7,,,2310626032,3.99E+11,,1249712652,34269095176,,,1.33E+12,,3.53E+11,,2.88E+11,3.99E+11,5413810342,6346925527,1.47E+11,,,,,2.90E+12,15933299000,4.76E+12,,165472667.9,1.66E+11,,,,,1.92E+13,,,,1.38E+11,6606381314,6903320905
1971,,,,,1070491206,,,1.79E+11,,,,3.40E+11,1.54E+11,,942431760,1.99E+11,1669043092,1559108853,24964184430,,,4337036067,,,167333333.5,2392536968,6593178123,4.98E+11,,,,588338659.4,1101413518,5.06E+11,,3.19E+11,,48731750486,2.01E+11,10825716247,6274918208,22629069018,2398014594,65464617627,,,7406347002,26399190118,21283556246,,,,,1.59E+12,,,1.55E+11,8476309661,34737896148,4.27E+11,2.10E+12,3.02E+12,,8.84E+12,16049108549,26221135246,5.23E+12,,4.80E+11,,,7.02E+12,,86516911992,1228297213,1.09E+12,,,4677619824,1.02E+12,10546323420,9893229989,,,344925324.4,333447059.5,,1.27E+11,,821342248.1,11104280962,,1416005097,1.58E+13,24620660567,3700433039,1.50E+11,,4428883894,,3.83E+12,4.24E+12,3.99E+11,1.87E+11,94860955741,2.14E+11,,2.23E+11,,38999045050,2.29E+11,15320902259,3832306781,46080321145,9.68E+11,8820886203,,2.04E+12,,8263112874,,,119648042.4,,64635516638,,1.36E+12,,,,,,1.48E+12,,,,9003996424,8.50E+11,4.05E+12,377933181.1,1.91E+12,,12346829678,,,,17308614101,2118031892,,5834325216,,6.69E+11,2.95E+11,,3.94E+12,,2199937632,1161635821,4661501868,3.88E+11,,,,,1514798050,,1602582192,22776434434,5.42E+12,,,2888326995,1.09E+11,5376655642,3.34E+11,1.32E+11,3393148208,,58554910379,1.58E+13,6747844993,,27572600915,5720133256,47188826404,47449662724,,4712036340,,2.65E+11,30677674605,,81083019678,4510424816,,,1.53E+13,,,,,1275858432,2.91E+11,1.56E+11,11196533127,5264659526,15827351825,,1353434647,9743776326,,,,4.29E+11,,4.29E+11,,,2111074549,,,2.15E+11,601289547.4,,218073690.5,,,2258691792,4.26E+11,,1249712652,35946695469,,,1.42E+12,,3.85E+11,,2.91E+11,4.29E+11,5470132150,7017173397,1.55E+11,,,,,3.10E+12,15893193049,4.92E+12,,170383980.3,1.69E+11,,,,,2.00E+13,,,,1.44E+11,6600697213,7518930527
1972,,,,,1157733494,,,1.82E+11,,,,3.53E+11,1.63E+11,,882078760.6,2.09E+11,1776301935,1595147635,21475757025,,,4185355346,,,184431962,2435906218,7118488615,5.58E+11,,,,743436149.3,1101403967,5.34E+11,,3.29E+11,,48234712071,2.08E+11,11284361249,6442699688,22663269578,2604664721,70485195745,,,8012041403,28458385820,22310846643,,,,,1.65E+12,,,1.61E+11,9357351195,44264406186,4.49E+11,2.25E+12,3.25E+12,,9.26E+12,16854395152,27022369396,5.49E+12,,5.19E+11,,,7.35E+12,,93209415272,1320238658,1.14E+12,,,5207920212,1.07E+12,10845509307,9647120518,,,345759025.4,354703845.7,,1.40E+11,,872078805.7,11918563617,,1369026707,1.67E+13,27233435261,3913663273,1.53E+11,,4472158862,,4.09E+12,4.50E+12,4.05E+11,1.94E+11,1.02E+11,2.11E+11,,2.22E+11,,41530008362,2.62E+11,15893183620,4069041188,51677492533,1.00E+12,10409400372,,2.21E+12,,9674653292,,,134100600.9,,69257418077,,1.47E+12,,,,,,1.59E+12,,,,8967036826,8.70E+11,4.31E+12,377167079,2.07E+12,,13161497281,,,,17730466109,2216484572,,5760076337,,7.78E+11,3.19E+11,,4.20E+12,,2328502349,1229455919,4775048659,4.41E+11,,,,,1503695975,,1702444681,24914787452,5.71E+12,,,2739108157,1.12E+11,5496056265,3.45E+11,1.39E+11,3498939795,,61552399406,1.67E+13,7410835891,,27796878217,5982276238,48829834416,50034146732,,4977962625,,2.73E+11,32878360594,,87582388232,4809524503,,,1.61E+13,,,,,1279214811,2.86E+11,1.91E+11,10628758446,5600713742,17934796405,,1365618735,10339855125,,,,4.40E+11,,4.41E+11,,,2098408101,,,2.20E+11,633905262,,231830450.5,,,2284658076,4.48E+11,,1345005211,37484677724,,,1.52E+12,,4.39E+11,,2.86E+11,4.41E+11,5786324760,8262210703,1.67E+11,,,,,3.34E+12,15683471263,5.17E+12,,214396699.4,1.71E+11,,,,,2.11E+13,,,,1.46E+11,7208546518,8145240502
